,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
cup-5 III_+_7590675_7590679_7590989,cup-5,WBGene00000846,R13A5.1,III_+_7590675_7590679_7590989,18.75%,41.25%,43.56%,37.67%,100%,NA,78.43%,17.78%,38.46%,47.77%,33.33%,NA,14.53%,53.22%,79.17%,50%,9.70%,33.33%,100%,47.73%,12.50%,46.67%,15.42%,54.86%,42.26%,45.29%,36.82%,14.02%,39.75%,14.08%,39.62%,45.15%,57.14%,55.54%,0%,NA,28.16%,72.40%,44.85%,12.50%,25.78%,68.46%,25.63%,50%,41.88%,45.83%
cutl-19 III_-_5216876_5217068_5217083,cutl-19,WBGene00022533,ZC155.5,III_-_5216876_5217068_5217083,100%,NA,37.42%,14.58%,NA,NA,50%,0%,0%,NA,0%,NA,NA,100%,NA,33.33%,0.90%,100%,NA,73.91%,100%,0%,16.49%,10.72%,100%,0%,20%,0%,50%,100%,50%,5.56%,39.10%,27.33%,NA,0%,0%,0%,8.34%,100%,24.74%,50%,50%,33.87%,31.82%,39.58%
cutl-23 III_+_5772197_5772797_5772850,cutl-23,WBGene00021343,Y37B11A.1,III_+_5772197_5772797_5772850,NA,NA,NA,NA,0%,NA,20.63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04%,NA,NA,NA,NA,NA,NA,8.33%,NA,4.76%,NA,NA,NA,13.34%,0%,NA,NA,NA,49.50%,NA,NA,NA,3.05%,NA,NA,0%,0%
cutl-24 IV_+_166027_166033_166518,cutl-24,WBGene00021396,Y38C1AA.5,IV_+_166027_166033_166518,NA,NA,NA,NA,66.67%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.19%,78.16%,NA,NA,NA,70.68%,NA,NA,NA,77.78%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cutl-26 IV_-_700346_700705_707666,cutl-26,WBGene00021950,Y55F3C.7,IV_-_700346_700705_707666,0%,NA,0%,2.22%,NA,0%,0%,5.66%,1.21%,0%,0%,0%,NA,2.37%,0%,0%,0.39%,2.08%,NA,19.14%,0%,0%,4.17%,0%,0%,5%,0.68%,1.11%,4.66%,0%,2.63%,1.39%,1.04%,3.64%,0%,2.77%,0%,0%,6.25%,NA,3.64%,11.43%,2.00%,0%,0%,2.50%
cux-7 III_-_7519598_7519648_7519775,cux-7,WBGene00000854,C07H6.8,III_-_7519598_7519648_7519775,69.21%,62%,61.63%,83.23%,100%,80%,58.33%,29.17%,49.92%,48.96%,50%,55.56%,50%,62.17%,51.95%,60.23%,51.28%,56.67%,70%,56.72%,29.17%,51.59%,52.04%,44.01%,54.21%,65.98%,52.42%,44.60%,63.45%,66.67%,58.11%,70.05%,58.39%,59.93%,87.50%,33.34%,77.69%,47.22%,65.95%,84.43%,60.95%,69.27%,58.87%,50%,33.43%,66.10%
cwp-5 X_-_13185600_13185642_13186111,cwp-5,WBGene00009844,F48C11.2,X_-_13185600_13185642_13186111,20.99%,NA,33.33%,25%,100%,NA,0%,0%,68.75%,40%,0%,NA,100%,0%,NA,NA,0%,91.67%,NA,100%,50%,NA,NA,NA,NA,50%,0%,100%,25%,NA,0%,33.33%,74.55%,100%,NA,0%,83.33%,NA,0%,0%,33.33%,0%,33.33%,0%,NA,0%
cwp-5 X_-_13186423_13187320_13189917,cwp-5,WBGene00009844,F48C11.2,X_-_13186423_13187320_13189917,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyc-2.1 IV_-_4748449_4748966_5063508,cyc-2.1,WBGene00017121,E04A4.7,IV_-_4748449_4748966_5063508,38.33%,0%,50%,25%,100%,50%,36.54%,50%,26.67%,NA,0%,0%,71.43%,0%,60%,NA,25.93%,0%,100%,6.04%,0%,72.44%,50%,53.93%,15.63%,0%,100%,77.98%,NA,NA,NA,81.25%,27.27%,25%,0%,0%,53.57%,51.28%,0%,0%,0%,0%,26.67%,100%,20%,75.63%
cyk-1 III_-_7028580_7028715_7032579,cyk-1,WBGene00000872,F11H8.4,III_-_7028580_7028715_7032579,83.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.51%,NA,NA,NA,NA,NA,NA,NA,15.05%,77.72%,90.56%,NA,79.81%,NA,NA,96.79%,60.61%,87.69%,87.04%,72.91%,87.57%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.05%
cyl-1 V_-_11992148_11992559_11992916,cyl-1,WBGene00000876,C52E4.6,V_-_11992148_11992559_11992916,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,97.22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyl-1 V_-_11992148_11992606_11992916,cyl-1,WBGene00000876,C52E4.6,V_-_11992148_11992606_11992916,73.50%,NA,NA,68.27%,82.15%,46.67%,20.83%,44.45%,85.03%,44.44%,75.99%,63.89%,75%,NA,51.63%,76.23%,NA,87.25%,72.67%,79.24%,67.50%,NA,NA,NA,NA,NA,NA,NA,83.87%,NA,NA,NA,NA,77.10%,NA,NA,87.60%,NA,NA,65.66%,NA,67.28%,NA,48.71%,75.43%,NA
cyld-1 III_-_9900819_9900891_9901066,cyld-1,WBGene00009594,F40F12.5,III_-_9900819_9900891_9901066,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
cyp-29A2 V_+_11217845_11218063_11218142,cyp-29A2,WBGene00011830,T19B10.1,V_+_11217845_11218063_11218142,NA,0%,21.98%,14.79%,0%,0%,0%,12.50%,0%,NA,11.11%,NA,0%,NA,5%,NA,0%,0%,0%,NA,0%,NA,16.67%,0%,NA,NA,0%,0.65%,0%,NA,19.23%,19.44%,NA,NA,50%,NA,3.05%,NA,0%,NA,NA,16.67%,8.33%,0%,NA,NA
D1007.15 I_+_4557776_4557797_4558186,D1007.15,WBGene00017010,D1007.15,I_+_4557776_4557797_4558186,62.61%,51.67%,90.31%,87.22%,0%,87.50%,94.44%,100%,77.22%,94.45%,83.33%,87.50%,100%,75.63%,54.17%,72.65%,92.91%,58.33%,75%,75.03%,86.67%,33.33%,53.97%,35.72%,65.56%,37.08%,78.57%,97.22%,74.24%,27.28%,75.57%,66.67%,36.88%,19.67%,100%,100%,33.97%,87.87%,85.44%,40%,72.89%,73%,83.11%,100%,42.44%,32.84%
D1007.3 I_-_4576584_4576684_4576703,D1007.3,WBGene00017001,D1007.3,I_-_4576584_4576684_4576703,39.46%,11.11%,NA,100%,NA,0%,0%,26.25%,57.78%,32.82%,33.33%,NA,NA,NA,0%,NA,NA,31.25%,32.48%,71.29%,NA,0%,NA,50%,0%,0%,50%,20.37%,0%,NA,0%,100%,45%,77.78%,NA,NA,33.33%,NA,NA,0%,100%,NA,34.38%,0%,0%,0%
D1022.4 II_-_7457164_7457208_7457242,D1022.4,WBGene00017023,D1022.4,II_-_7457164_7457208_7457242,5.32%,0%,6.47%,7.33%,33.34%,33.33%,0%,0%,0.53%,0%,0%,50%,0%,11.21%,0%,0%,43.06%,6.25%,0%,0%,0%,25.83%,46.30%,2.27%,1.47%,2.50%,33.52%,16.18%,12.57%,23.72%,0%,7.41%,8.33%,7.60%,0%,NA,12.91%,6.30%,1.59%,0%,8.76%,8.86%,1.09%,0%,6.25%,12.33%
D1022.9 II_-_7488185_7488237_7488241,D1022.9,WBGene00044300,D1022.9,II_-_7488185_7488237_7488241,NA,100%,33.33%,100%,NA,NA,NA,NA,100%,NA,NA,100%,NA,100%,0%,100%,NA,NA,50%,100%,NA,NA,100%,84.52%,100%,100%,100%,100%,NA,NA,100%,100%,100%,100%,NA,NA,100%,100%,91.67%,NA,NA,100%,100%,NA,NA,96.43%
D1037.1 I_+_3688575_3689357_3689514,D1037.1,WBGene00017025,D1037.1,I_+_3688575_3689357_3689514,100%,50%,88.89%,93.33%,NA,100%,46.67%,100%,100%,100%,76.79%,75%,100%,63.33%,66.67%,100%,83.34%,100%,100%,51.08%,100%,100%,86.47%,67.27%,87.05%,42.59%,75%,56.95%,82.08%,100%,NA,66.01%,58.39%,70.54%,100%,100%,76.67%,100%,57.58%,30%,74.33%,100%,75.35%,54.17%,96.88%,86.74%
D1044.6 III_-_5540761_5541095_5543122,D1044.6,WBGene00017031,D1044.6,III_-_5540761_5541095_5543122,70%,100%,55%,23.33%,100%,NA,NA,100%,88.10%,0%,68.33%,0%,100%,51.19%,72.22%,62.50%,34.52%,36.67%,33.33%,80.45%,50%,93.33%,69.92%,70.41%,60%,88.61%,100%,44.44%,84.09%,69.44%,92.86%,92.86%,76.39%,89.20%,75%,100%,97.06%,53.34%,47.22%,100%,38.33%,61.67%,63.75%,50%,71.88%,61.04%
D1054.9 V_-_10786332_10786428_10786443,D1054.9,WBGene00008376,D1054.9,V_-_10786332_10786428_10786443,NA,NA,31.67%,50%,NA,100%,100%,NA,62.50%,NA,NA,25%,NA,NA,50%,NA,NA,66.67%,100%,100%,0%,NA,100%,NA,66.67%,100%,100%,NA,45%,NA,NA,83.33%,NA,82.72%,NA,NA,100%,100%,74.18%,NA,100%,100%,50%,NA,100%,NA
D1054.9 V_-_10786650_10786869_10788832,D1054.9,WBGene00008376,D1054.9,V_-_10786650_10786869_10788832,100%,100%,96.05%,100%,NA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97.22%,100%,81.99%,100%,88.89%,66.67%,100%,75%,100%,98.04%,100%,100%,100%,NA,96.75%,98.18%,95.81%,100%,70%,70%,100%,83.93%,95%,95.46%,96.67%,89.03%,100%,90%,95.56%
D1054.9 V_-_10786650_10787057_10788832,D1054.9,WBGene00008376,D1054.9,V_-_10786650_10787057_10788832,100%,16.67%,88.35%,100%,NA,96.16%,100%,100%,97.11%,100%,100%,91.67%,100%,75%,86.67%,100%,100%,71.67%,100%,83.17%,66.67%,78.89%,100%,67.92%,100%,91.45%,100%,100%,83.92%,67.86%,84.15%,83.91%,84.84%,88.76%,100%,100%,76.09%,66.67%,NA,95%,66.83%,92.22%,90.19%,75%,95%,78.49%
D1086.12 V_+_14101852_14101861_14101908,D1086.12,WBGene00044082,D1086.12,V_+_14101852_14101861_14101908,28.43%,100%,42.16%,42.86%,100%,50%,50%,14.82%,55%,83.34%,20%,50%,100%,35.42%,10%,25%,37.50%,47.92%,66.67%,50%,NA,38.85%,45.46%,73.74%,40.14%,45.42%,73.75%,42.86%,73.33%,27.38%,41.67%,25%,44.05%,56.08%,33.33%,0%,28.96%,100%,50.76%,75%,12.50%,100%,24.05%,33.33%,39.58%,63.10%
D2007.2 III_+_8152862_8153327_8153482,D2007.2,WBGene00017042,D2007.2,III_+_8152862_8153327_8153482,100%,100%,92.86%,97.01%,100%,NA,86.67%,100%,91.67%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,83.75%,100%,85%,92.59%,100%,100%,100%,73.94%,100%,100%,100%,97.50%,100%,96.88%,100%,100%,100%,93.75%,100%,96.67%,100%,95.29%,64%,100%,100%,100%,91.67%
D2023.1 V_+_11789773_11790904_11791231,D2023.1,WBGene00014300,D2023.1,V_+_11789773_11790904_11791231,42.48%,NA,100%,66.67%,NA,100%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,100%,0%,NA,100%,28.57%,100%,100%,100%,0%,60%,56.26%,NA,NA,NA,0%,NA,50%,NA,100%,NA,0%,NA,NA,NA
D2023.3 V_-_11805651_11807363_11811421,D2023.3,WBGene00008407,D2023.3,V_-_11805651_11807363_11811421,1.32%,95.26%,100%,100%,NA,100%,100%,99.27%,84.44%,86.67%,NA,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,100%,NA,100%,NA,100%,NA,100%,NA,NA,NA,100%,100%,NA,100%,100%,NA,100%,NA,NA,NA,NA,100%
D2023.3 V_-_11811543_11811922_11813337,D2023.3,WBGene00008407,D2023.3,V_-_11811543_11811922_11813337,0%,4.27%,0%,14.15%,0%,0%,47.11%,53.49%,1.19%,0%,0%,0%,NA,8.42%,100%,0%,8.33%,50%,25%,0%,0%,0%,50%,0%,3.52%,0%,57.20%,4.17%,45.04%,0%,0%,12.50%,12.50%,7.14%,0%,0%,20.59%,1.99%,5.19%,61.90%,7.67%,2.58%,7.72%,NA,NA,12.50%
D2024.5 IV_-_7227507_7227550_7227584,D2024.5,WBGene00017053,D2024.5,IV_-_7227507_7227550_7227584,77.27%,80.01%,NA,84.70%,100%,81.05%,84.28%,65.53%,77.60%,81.83%,91.25%,96.97%,90%,77.80%,79.58%,75.07%,NA,57.57%,90.83%,NA,82.61%,NA,NA,NA,75.91%,76.14%,NA,91.78%,89.80%,NA,NA,NA,NA,72.62%,59.52%,NA,77.76%,NA,97.05%,70%,82.12%,83.74%,87.15%,NA,NA,NA
D2024.5 IV_-_7227507_7227584_7227694,D2024.5,WBGene00017053,D2024.5,IV_-_7227507_7227584_7227694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.56%,NA,NA,76.85%,NA,NA,NA,NA,NA,NA,NA,59.59%,NA,NA,NA,52.35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D2096.7 IV_-_8376835_8377309_8377327,D2096.7,WBGene00017074,D2096.7,IV_-_8376835_8377309_8377327,78.75%,100%,93.30%,83.24%,100%,100%,100%,75%,81.96%,88.89%,96%,100%,100%,94.79%,93.06%,69.84%,95.83%,96.67%,NA,81.07%,95%,100%,95.83%,100%,86.54%,80.56%,70.24%,86.91%,93.15%,98.04%,100%,96.97%,96.88%,75.63%,100%,100%,87.91%,100%,90.18%,88.64%,95.73%,96.67%,88.08%,88.89%,95.26%,98.44%
dab-1 II_+_8226438_8226901_8226946,dab-1,WBGene00000894,M110.5,II_+_8226438_8226901_8226946,84.61%,97.50%,95.70%,96.87%,100%,100%,96.67%,66.50%,81.76%,95%,95.95%,90%,100%,95.58%,95.67%,100%,92.55%,95.83%,70%,91.45%,100%,86.62%,95.46%,96.71%,93.34%,88.43%,96.04%,99.22%,98.42%,94.84%,97.90%,90.41%,88.82%,87.38%,100%,100%,93.43%,95.97%,84.76%,97.85%,98.58%,98.83%,92.33%,100%,93.13%,86.95%
dac-1 III_+_817561_817725_818337,dac-1,WBGene00000895,B0412.1,III_+_817561_817725_818337,NA,91.30%,NA,100%,NA,NA,NA,100%,25%,NA,NA,NA,100%,NA,NA,NA,100%,100%,100%,78.21%,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,100%,NA,NA,100%,NA,100%,NA,100%,100%,100%,NA,NA,NA
dac-1 III_+_819084_819399_820351,dac-1,WBGene00000895,B0412.1,III_+_819084_819399_820351,50%,NA,100%,77.78%,100%,100%,72.00%,100%,94.68%,43.04%,100%,100%,NA,100%,100%,NA,87.50%,100%,100%,100%,100%,100%,100%,100%,100%,88.89%,85%,100%,100%,100%,100%,80%,100%,75%,100%,NA,88.57%,100%,100%,100%,58.89%,60%,100%,100%,100%,100%
dac-1 III_+_820595_821004_821427,dac-1,WBGene00000895,B0412.1,III_+_820595_821004_821427,0%,1.23%,0%,NA,NA,NA,7.69%,33.33%,NA,0%,NA,0%,NA,0%,0%,NA,NA,0%,NA,0%,NA,0%,0%,NA,0%,0%,0%,NA,0%,0%,NA,0%,0%,0%,NA,NA,0%,0%,0%,NA,0%,NA,NA,0%,NA,0%
daf-11 V_-_11723947_11724248_11724296,daf-11,WBGene00000907,B0240.3,V_-_11723947_11724248_11724296,NA,NA,NA,NA,NA,NA,NA,0%,0%,0%,NA,NA,NA,0%,0%,NA,NA,0%,0%,49.58%,0%,0%,0%,0%,NA,0%,0%,NA,0%,NA,0%,0%,0%,0%,NA,NA,0%,0%,0%,0%,0%,NA,0%,NA,0%,0%
daf-12 X_+_10644550_10645788_10645836,daf-12,WBGene00000908,F11A1.3,X_+_10644550_10645788_10645836,79.68%,100%,93.93%,86.47%,100%,100%,86.36%,95%,86.67%,84.09%,95%,100%,88.89%,85.52%,87.50%,100%,96.77%,96.88%,73.33%,88.51%,100%,82.90%,71.43%,90.52%,90.43%,82.79%,87.50%,100%,64.14%,92.86%,90.91%,68.33%,88.73%,85.28%,100%,100%,80.93%,92.59%,95.42%,75%,96.35%,98%,95.17%,83.33%,92.25%,73.73%
daf-12 X_+_10645897_10645927_10660794,daf-12,WBGene00000908,F11A1.3,X_+_10645897_10645927_10660794,63.94%,65.29%,NA,78.12%,100%,93.75%,73.12%,88.89%,74.81%,NA,100%,73.01%,100%,79.27%,87.87%,63.33%,88.51%,66.74%,57%,81.68%,60.42%,NA,93.86%,85.88%,NA,85.50%,75.74%,88.27%,97.50%,100%,NA,93.33%,74.03%,89.63%,43.34%,62.78%,72.91%,84.79%,67.65%,90%,79.30%,84.51%,70.51%,NA,98%,84.36%
daf-12 X_+_10645897_10647211_10660794,daf-12,WBGene00000908,F11A1.3,X_+_10645897_10647211_10660794,NA,100%,NA,95.08%,100%,100%,78.61%,100%,97.99%,NA,100%,100%,100%,89.85%,91.88%,NA,100%,NA,100%,NA,100%,NA,89.85%,NA,NA,94.84%,NA,NA,89.97%,100%,89.46%,81.95%,83.76%,81.50%,NA,NA,91.79%,96.59%,NA,94.49%,95.06%,97.19%,NA,NA,99.29%,NA
daf-12 X_+_10645897_10659760_10660794,daf-12,WBGene00000908,F11A1.3,X_+_10645897_10659760_10660794,NA,84.29%,72.08%,91.18%,75%,87.50%,97.92%,95.83%,93.83%,NA,65.28%,100%,90%,84.85%,87.80%,NA,95.06%,NA,68.33%,NA,96.43%,72.11%,96.87%,NA,NA,90.54%,NA,NA,90.44%,96.88%,NA,86.11%,85.36%,83.09%,NA,NA,79.71%,78.75%,NA,84.28%,90.73%,93.50%,NA,73.44%,83.33%,NA
daf-16 I_+_10751188_10763347_10763588,daf-16,WBGene00000912,R13H8.1,I_+_10751188_10763347_10763588,11.53%,1.40%,14.60%,5.83%,17.84%,14.45%,7.06%,34.39%,8.76%,11.25%,39.73%,36.92%,13.74%,20.67%,28.45%,49.31%,51.55%,11.49%,21.91%,10.20%,14.35%,27.56%,38.27%,34.67%,15.25%,33.77%,50.01%,42.21%,30.89%,42.43%,53.33%,30.58%,31.67%,35.06%,70.84%,40%,30.41%,24.10%,43.71%,19.31%,38.30%,27.45%,34.74%,28.54%,46.06%,34.38%
daf-16 I_+_10765283_10772149_10772958,daf-16,WBGene00000912,R13H8.1,I_+_10765283_10772149_10772958,NA,87.78%,51.50%,78.13%,54.23%,59.76%,91.12%,21.77%,70.08%,46.84%,55.83%,58.10%,79.22%,41.44%,69.59%,43.33%,32.84%,53.97%,56.58%,29.61%,71.07%,72.24%,40.38%,60.50%,53.68%,60.17%,68.57%,31.95%,77.71%,52.11%,69.24%,67.12%,70.23%,74.44%,70.22%,35%,66.22%,42.59%,41.24%,63.03%,55.36%,29.85%,49.81%,53.96%,54.79%,63.14%
daf-18 IV_-_420996_421360_421562,daf-18,WBGene00000913,T07A9.6,IV_-_420996_421360_421562,39.07%,75.30%,49.14%,58.02%,43.48%,100%,5.56%,27.95%,54.87%,14.58%,95.71%,58.34%,100%,44.38%,76.67%,20.37%,53.57%,48.92%,66.67%,29.70%,83.34%,66.67%,86.44%,68.43%,42.55%,100%,81.25%,29.38%,96.46%,100%,94.95%,98.72%,89.56%,76.59%,100%,33.33%,83.12%,38.89%,43.44%,89.47%,69.94%,41.23%,69.04%,58.33%,84.10%,73.11%
daf-19 II_-_10159821_10159906_10160795,daf-19,WBGene00000914,F33H1.1,II_-_10159821_10159906_10160795,82.78%,3.21%,88.48%,95.20%,68.42%,59.52%,53.47%,86.93%,80.77%,94.80%,57.14%,64.82%,100%,96.05%,91.67%,88.46%,88.55%,15.93%,19.23%,14.82%,13.68%,79.17%,98.81%,82.98%,93.87%,92.71%,17.95%,91.50%,100%,95.84%,36.67%,19.97%,80.75%,74.42%,6.25%,66.67%,86.59%,93.37%,93.05%,83.33%,93.11%,95.28%,85.78%,97.50%,98.82%,97.80%
daf-19 II_-_10161043_10161246_10161474,daf-19,WBGene00000914,F33H1.1,II_-_10161043_10161246_10161474,NA,100%,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
daf-19 II_-_10161043_10161474_10163495,daf-19,WBGene00000914,F33H1.1,II_-_10161043_10161474_10163495,98.14%,84%,100%,95.04%,100%,97.92%,98.94%,97.50%,88.21%,89.69%,100%,100%,100%,100%,100%,100%,100%,92.44%,100%,85.51%,100%,100%,99.02%,98.39%,100%,100%,69.44%,NA,95.83%,100%,85.36%,100%,98.53%,100%,100%,100%,93.01%,97.30%,98.53%,92.86%,94.28%,91.97%,98.41%,95.24%,100%,97.50%
daf-19 II_-_10163578_10164310_10166139,daf-19,WBGene00000914,F33H1.1,II_-_10163578_10164310_10166139,62.06%,50%,90.18%,90.49%,100%,91.67%,67.43%,NA,86.62%,92.30%,95.83%,100%,92.59%,86.28%,84.03%,99.37%,96.57%,87.50%,100%,NA,100%,100%,89.47%,93.18%,94.07%,100%,100%,93.33%,95.47%,95%,90.60%,96.97%,96.84%,99%,100%,100%,78.99%,94.56%,96.43%,100%,97.26%,98.67%,96.67%,95.24%,94.55%,98.84%
daf-19 II_-_10163578_10165672_10166139,daf-19,WBGene00000914,F33H1.1,II_-_10163578_10165672_10166139,NA,75%,100%,100%,100%,100%,NA,62.70%,91.41%,81.16%,100%,100%,100%,98.65%,100%,100%,98.89%,100%,80%,56.78%,83.33%,100%,100%,100%,98.61%,100%,100%,100%,100%,100%,96.16%,96.97%,99.11%,98.33%,100%,100%,100%,98.44%,97.75%,100%,99.12%,100%,100%,100%,100%,99.41%
daf-2 III_-_3006037_3006977_3008608,daf-2,WBGene00000898,Y55D5A.5,III_-_3006037_3006977_3008608,65.16%,NA,NA,56.91%,87.18%,NA,NA,NA,70.71%,NA,79.90%,91.67%,85.71%,83.72%,80.36%,77.65%,94.21%,NA,85.71%,NA,NA,92.06%,89.60%,91.34%,NA,87.14%,91.13%,96.19%,75.79%,91.67%,NA,NA,NA,NA,100%,90%,73.44%,NA,91.29%,72.59%,85.80%,93.89%,84.62%,94.23%,73.80%,81.32%
daf-3 X_-_822682_822842_822851,daf-3,WBGene00000899,F25E2.5,X_-_822682_822842_822851,87.27%,81.33%,94.04%,92.61%,85%,96.30%,98.08%,75.16%,82.94%,83.66%,86.11%,83.34%,49.52%,88.64%,85.26%,72.68%,96.08%,89.14%,100%,88.40%,70.79%,85.71%,96.22%,92.23%,73.03%,91.39%,95.56%,88.99%,72.22%,93.33%,89.12%,86.67%,83.08%,90.56%,100%,100%,83.10%,92.08%,86.55%,100%,92.18%,95.32%,94.37%,70%,79.69%,96.88%
daf-37 II_-_6204955_6205444_6205945,daf-37,WBGene00016246,C30B5.5,II_-_6204955_6205444_6205945,91.38%,NA,95%,75.90%,NA,100%,58.33%,NA,25%,63.51%,91.67%,88.10%,100%,33.33%,88.89%,73.33%,60%,87.50%,50%,66.67%,75%,71.43%,10%,NA,0%,66.67%,91.11%,100%,83.33%,100%,NA,31.48%,72.09%,62%,NA,0%,0%,69.45%,94.13%,100%,NA,30.36%,NA,16.67%,100%,NA
dagl-2 III_-_780858_780976_781622,dagl-2,WBGene00018364,F42G9.6,III_-_780858_780976_781622,NA,59.89%,NA,NA,NA,NA,NA,NA,NA,NA,75.19%,NA,NA,NA,79.01%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dapk-1 I_+_1312937_1317180_1320038,dapk-1,WBGene00003400,K12C11.4,I_+_1312937_1317180_1320038,74.64%,27.41%,67.14%,59.01%,100%,17.80%,16.12%,39.29%,41.86%,57.62%,56.75%,77.78%,91.67%,55.86%,87.99%,100%,52.22%,63.43%,52.84%,NA,39.58%,79.43%,56.47%,88.33%,35.34%,59.05%,72.35%,81.82%,82.28%,82.69%,82.77%,68.38%,55.64%,63.08%,43.34%,10%,86.32%,88.46%,37.51%,83.34%,62.38%,75.89%,73.55%,68.33%,65.10%,86.70%
dct-15 IV_-_9809938_9810416_9810670,dct-15,WBGene00012340,W08D2.3,IV_-_9809938_9810416_9810670,66.67%,99.91%,100%,70.83%,NA,100%,99.85%,99.15%,55.26%,14.89%,100%,100%,NA,87.50%,NA,NA,100%,87.61%,100%,99.61%,100%,100%,100%,100%,100%,75%,57.15%,100%,100%,57.14%,66.67%,100%,97.22%,100%,NA,100%,100%,100%,94.45%,NA,98.18%,87.50%,83.33%,100%,100%,100%
ddo-2 V_-_7434122_7434225_7434304,ddo-2,WBGene00017565,F18E3.7,V_-_7434122_7434225_7434304,1.71%,6.67%,0%,6.67%,18.06%,16.84%,0%,0%,0%,5.77%,0%,0%,16.67%,0%,0%,1.96%,0%,0%,2%,0%,0%,1.67%,1.75%,1.73%,8.33%,1.92%,0%,0%,0%,14.23%,24.66%,0%,1.09%,2.71%,0%,0%,1.88%,41.31%,0%,0%,0.91%,2.86%,2.44%,5%,0%,2.78%
ddo-2 V_-_7434602_7434838_7434843,ddo-2,WBGene00017565,F18E3.7,V_-_7434602_7434838_7434843,73.56%,59%,85.83%,72.18%,38.75%,76.49%,70.42%,83.11%,73.05%,72.14%,86.11%,50%,66.67%,76.55%,63.91%,68.52%,97.44%,85.42%,70.45%,62.63%,66.67%,56.67%,72.78%,82.06%,86.88%,87.50%,81.51%,79.29%,69.68%,76.16%,90%,75.24%,75.57%,79.29%,75%,25%,65.69%,70.29%,61.07%,75%,76.69%,74.98%,71.70%,70.24%,81.46%,81.16%
ddx-17 V_-_14009608_14009894_14010353,ddx-17,WBGene00010260,F58E10.3,V_-_14009608_14009894_14010353,NA,98.11%,NA,NA,100%,97.15%,NA,93.96%,92.99%,93.08%,94.30%,NA,98.05%,NA,89.82%,NA,95.57%,NA,95.41%,NA,95.53%,97.06%,91.98%,NA,NA,NA,NA,NA,NA,91.48%,NA,NA,NA,94.24%,91.05%,98.72%,NA,93.71%,90.49%,95.45%,NA,NA,NA,91.04%,90.45%,NA
ddx-19 II_+_8885542_8886694_8887035,ddx-19,WBGene00011580,T07D4.4,II_+_8885542_8886694_8887035,31.70%,25%,32.99%,52.49%,5.56%,0%,13.39%,46.67%,27.73%,54.17%,8.33%,0%,16.19%,37.33%,25%,41.67%,60.36%,44.17%,20%,39.74%,20%,45.15%,6.67%,35.39%,45.26%,17.98%,56.03%,50.26%,17.96%,9.52%,1.85%,21.17%,13.52%,29.53%,50%,25%,10.55%,56.67%,39.58%,35.19%,16.41%,25%,40.80%,25%,37.22%,NA
