"","Gene","WormBase_Gene_ID","Sequence_Name","AS_event_ID","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"cdk-12 III_+_4339619_4340013_4340016","cdk-12","WBGene00007135","B0285.1","III_+_4339619_4340013_4340016","94.9425%","96.924%",NA,"93.8133333333333%","100%","95.835%","92.5%","97.7275%","95.9433333333333%","95.8325%","91.6666666666667%","90%","100%","95.6525%","93.505%","95.0533333333333%","92.54%","93.7375%","100%","95.8725%","90.2775%",NA,NA,NA,"92.3075%","95.8325%","88.1766666666667%",NA,"84.71%",NA,NA,"89.8%",NA,"93.772%","100%","100%","95.3933333333333%","88.61%","96.0725%","95.7266666666667%","92.212%","90.802%","95.0475%","93.75%","94.95%",NA
"cisd-3.1 III_+_4543393_4543769_4545714","cisd-3.1","WBGene00010909","M88.7","III_+_4543393_4543769_4545714","28.255%","0%","9.1925%","33.4516666666667%","15.385%","15.48%","56.4175%","30.8325%","25%","25%","7.08333333333333%","11.11%","73.3333333333333%","24.4625%","20.8875%","41.2633333333333%","22.2233333333333%","43.38%","25%","30.3225%","67.5%","3.92%","39.905%",NA,"19.54%","8.3325%","23.4266666666667%",NA,"13.8725%","19.645%",NA,"7.14333333333333%","25.4775%","4.792%","0%","0%","19.4116666666667%","0%","31.985%","3.57%","27.862%","41.996%","21.99%","0%","17.3483333333333%","13.035%"
"imph-1 III_+_4554357_4554564_4554576","imph-1","WBGene00010908","M88.5","III_+_4554357_4554564_4554576","4.15%","7.362%","12.325%","3.92666666666667%","0%","6.66666666666667%","6.25%","3.6375%","2.17333333333333%","4.1675%","16.0316666666667%","0%","2.56333333333333%","7.405%","8.995%","9.3%","3.18666666666667%","8.835%","10%","8.46%","5.835%","12.23%","12.375%","17.6475%","3.39%","16.12%","3.70333333333333%","6.7575%","13.79%","15.1533333333333%","23.75%","13.4666666666667%","3.8125%","9.236%","16.665%","10%","9.25833333333333%","0%","5.995%","5.69%","6.916%","11.716%","9.805%","0%","6.058%","9.4125%"
"imph-1 III_+_4556511_4556845_4556851","imph-1","WBGene00010908","M88.5","III_+_4556511_4556845_4556851","7.1975%","6.102%","5.905%","5.305%","8.54%","0%","16.665%","2.0825%","7.72%","3.7375%","13.095%","4.44333333333333%","0%","7.705%","9.895%","4.85666666666667%","4.16666666666667%","9.545%","5%","6.19%","0%","10.9833333333333%","13.6575%","7.64%","0.77%","15.445%","7.52666666666667%","3.0525%","19.8%","18.8966666666667%","13.2%","6.27%","20.235%","15.524%","6.25%","10%","3.665%","5.64333333333333%","9.0475%","0%","6.87%","8.78%","11.8025%","10.8325%","19.2766666666667%","5.7425%"
"imph-1 III_+_4557537_4557576_4557582","imph-1","WBGene00010908","M88.5","III_+_4557537_4557576_4557582","5.6625%","7.5%","8.795%","4.76166666666667%","0%","5%","8.3325%","0%","1.09333333333333%","6.25%","11.666%","0%","0%","10.8125%","7.7775%","0%","2.54%","8.3325%","6.25%","0%","0%","4.04%","20.48%","4.4675%","1.7625%","27.8575%","6.06%","4.63%","23.95%","29.7633333333333%","23.99%","9.70666666666667%","9.265%","5.912%","33.335%","0%","6.60666666666667%","0%","7.8875%","14.29%","3.964%","15.664%","5.535%","0%","7.89%","6.555%"
"imph-1 III_+_4559582_4559629_4559636","imph-1","WBGene00010908","M88.5","III_+_4559582_4559629_4559636","17.5675%","23.906%","23.14%","34.9266666666667%","25%","24.0733333333333%","33.3175%","24.3375%","20.7666666666667%","27.5975%","21.06%","46.3466666666667%","18.03%","11.0775%","36.4175%","14.07%","16.97%","31.63%","12%","38.175%","25.8325%","15.8833333333333%","31.655%","24.81%","22.57%","36.3625%","14.66%","18.64%","39.7725%","37.69%","62.075%","33.3333333333333%","37.9125%","43.084%","28.18%","33.335%","35.4566666666667%","13.16%","8.6725%","12.28%","20.878%","19.842%","30.5675%","49.5825%","20.3033333333333%","27.605%"
"wdr-48 III_+_4580785_4580829_4580838","wdr-48","WBGene00009441","F35G12.4","III_+_4580785_4580829_4580838","16.865%","30%","6.785%","14.09%","0%","0%","0%","0%","17.44%","0%","0%","0%","0%","17.985%","5%","0%","16.35%","16.6675%","50%","1.5625%","8.3325%","49.8033333333333%","50.1325%","34.32%","10.3325%","70.14%","0%","11.3625%","54.11%","41.11%","65.79%","35.1866666666667%","36.865%","30.924%","0%",NA,"30.0316666666667%","16.6666666666667%","1.9225%","45.45%","7.928%","4.706%","12.5%","0%","16.5583333333333%","10.885%"
"wdr-48 III_+_4581362_4581403_4581412","wdr-48","WBGene00009441","F35G12.4","III_+_4581362_4581403_4581412","17.5%",NA,"16.5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.5075%",NA,"8.33333333333333%",NA,"9.375%",NA,"22.03%",NA,"9.09%",NA,"27.7825%","5%",NA,"22.7%","3.125%",NA,"65.58%","83.585%","8.33333333333333%",NA,NA,NA,"50%",NA,NA,"8.3325%",NA,"12%",NA,"32.965%",NA,NA,"20.585%"
"ppm-2 III_+_4652770_4652945_4652982","ppm-2","WBGene00011953","T23F11.1","III_+_4652770_4652945_4652982","10.4525%","15.442%",NA,NA,NA,"0%","15.34%","9.0025%","7.0425%",NA,"18.6316666666667%","6.66666666666667%","30.9066666666667%",NA,"3.23%","10.4766666666667%",NA,"11.1725%","31.665%",NA,"15.9025%","1.39%",NA,NA,NA,"4.2375%","13.2933333333333%",NA,"3.59%",NA,NA,"5.41666666666667%","7.415%","11.316%",NA,NA,"7.30666666666667%",NA,"8.86%","1.51666666666667%",NA,NA,NA,"13.485%",NA,NA
"cdka-1 III_+_4660928_4660976_4661006","cdka-1","WBGene00011955","T23F11.3","III_+_4660928_4660976_4661006","65.4875%","47.666%","56.9275%","65.5433333333333%","48.6%","61.0466666666667%","74.405%","57.6475%","75.9125%","73.41%","48.79%","38.3133333333333%","74.73%","62.235%","58.385%","56.65%","48.3733333333333%","56.6825%","61.04%","54.1025%","57.9175%","55.5366666666667%","52.5425%","58.7225%","60.4125%","59.9625%","68.1433333333333%","62.895%","65.245%","68.4866666666667%","67.55%","49.6933333333333%","55.0975%","60.214%","56.685%","59.32%","51.2333333333333%","49.76%","52.2375%","41.1233333333333%","56.108%","56.866%","55.0225%","49.535%","41.295%","60.355%"
"nemp-1 III_+_473982_474439_474445","nemp-1","WBGene00017328","F10C5.2","III_+_473982_474439_474445","46.8%","27.0825%","46.95%","48.53%","15.38%","55.56%","58.89%","33.335%","64.4933333333333%","100%","20.555%","25%","30%","57.2925%","45.1375%","50%","54.2733333333333%","41.6675%","66.6666666666667%","37.4625%","61.11%","46.43%","57.2066666666667%","53.8475%","26.25%","55.8075%","37.5%","65.9175%","54.7575%","77.1833333333333%","53.08%","41.2566666666667%","53.975%","69.014%","16.665%","33.335%","51.0716666666667%","69.05%","54.76%","47.37%","28.408%","51.668%","45.6575%","61.5375%","58.8433333333333%","57.725%"
"rbg-3 III_+_4755830_4755877_4756029","rbg-3","WBGene00007167","B0393.2","III_+_4755830_4755877_4756029",NA,"85.1775%",NA,NA,"100%","100%","100%",NA,"100%","100%","100%","100%","100%",NA,"100%",NA,NA,NA,"100%","79.3475%","100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.584%","100%",NA,NA,NA,NA,"100%",NA,"99.5%",NA,"100%","93.894%",NA
"tag-325 III_+_4797207_4797567_4797573","tag-325","WBGene00008006","C38D4.5","III_+_4797207_4797567_4797573","2.94%","10%","8.39%","0.952%","0%","12.5%","0%","11.5625%","1.83%","0%","8.92833333333333%","0%","0%","7.735%","2.7775%","0%","8.33333333333333%","2.7775%","9.52333333333333%","0.5775%","0%","12.0033333333333%","16.3225%","6.8575%","4.3425%","21.1125%","10%","0%","17.4733333333333%","20.8333333333333%","21.7%","18.3333333333333%","15.3925%","11.402%","0%","0%","17.778%","8.3325%","7.6375%","0%","1.958%","10.072%","7.41%","3.5725%","1.84%","6.055%"
"tag-325 III_+_4799105_4799554_4799568","tag-325","WBGene00008006","C38D4.5","III_+_4799105_4799554_4799568","1.25%","20%","1.47%","1.666%","0%","0%","0%","0%","4.04%","0%","5%","0%","0%","0.91%","0%","0%","0%","0%","0%","4.7425%","25%","3.92%","6.0425%","17.3075%","2.7775%","8.335%","0%","0%","5.09333333333333%","0%","12.775%","4.76333333333333%","5.0475%","8.3%","0%","0%","1.11%","0%","5%","0%","2.308%","0%","0%","0%","2.67333333333333%","1.39%"
"F26A1.19 III_+_4838260_4839868_4840737","F26A1.19","WBGene00270319","F26A1.19","III_+_4838260_4839868_4840737","100%","75%","100%","96.6666666666667%","96.5033333333333%","100%","100%","100%","97.47%","100%","87.5%","100%","100%","90%","71.6675%","100%","100%","100%","100%","93.94%","66.6675%","80.9533333333333%","96.745%","97.3925%","90.1775%","100%","100%","98.5%","100%","50%","98.275%","100%","95.3575%","98.334%","0%","100%","100%","100%","100%","100%","95.866%","93.03%","97.2225%","100%","83.3325%","96.7325%"
"tag-340 III_+_4901471_4902047_4902053","tag-340","WBGene00017826","F26F4.4","III_+_4901471_4902047_4902053","11.58%","6.66666666666667%","14.33%","7.75%","22.2233333333333%","25%","26.0725%","0%","18.75%","33.3333333333333%","7.40666666666667%","0%","33.3333333333333%","8.5425%","7.74%","18.1266666666667%","4.16666666666667%","0%","0%","33.5325%","33.3333333333333%","1.75333333333333%","29.475%","13.72%","3.845%","23.775%","12.5%","18.3825%","23.45%","33.3333333333333%","48.075%","39.0533333333333%","18.4025%","30.974%","0%","0%","31.704%","18.1825%","25%","3.70333333333333%","10.666%","0%","8.2825%","16.6666666666667%","19.3516666666667%","8.8125%"
"eri-9 III_+_4933320_4933374_4933380","eri-9","WBGene00016143","C26E6.7","III_+_4933320_4933374_4933380","11.665%","10%","44.52%","3.33333333333333%","0%","75%","25%","5%","26.9266666666667%","23.3333333333333%","21.6666666666667%","0%","45.45%","2.8625%","0%","0%","5.55666666666667%","16.25%","0%","0%","0%","16.6666666666667%","18.94%","21.4%","9.7225%","50.19%","33.3333333333333%","12.5%","54.1433333333333%","33.335%","45.37%","28.7833333333333%","44.03%","11.956%","0%",NA,"13.778%","6.66666666666667%","9.615%","4.76333333333333%","11.916%","13.528%","10.6975%","5%","15.204%","7.0475%"
"smcr-8 III_+_5000824_5000861_5000864","smcr-8","WBGene00020095","R144.5","III_+_5000824_5000861_5000864","97.2225%","75%","96.875%","90.556%","100%","100%","100%","75%","90.475%","100%","100%","100%","100%","93.75%","100%","100%","77.46%","100%","100%","93.75%","100%",NA,"93.75%","78.07%","91.945%","79.87%","75%","100%","96.295%","100%","88.635%","100%","87.5%","92.7775%",NA,NA,"95.556%","100%","65.1775%","88.89%","100%","87.5%","91.665%","80%","95.294%","71.5475%"
"smcr-8 III_+_5000824_5000861_5000874","smcr-8","WBGene00020095","R144.5","III_+_5000824_5000861_5000874",NA,NA,"85.625%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100%",NA,"51.2133333333333%","91.2875%","91.6675%",NA,NA,NA,NA,NA,"75%",NA,"100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80.2075%"
"wip-1 III_+_5019535_5019837_5019843","wip-1","WBGene00020094","R144.4","III_+_5019535_5019837_5019843",NA,"10%","25.21%","10.666%",NA,"53.85%","0%","5%","15.9966666666667%",NA,"43.334%","5.55666666666667%","0%","20.2125%","26.9866666666667%","0%","50%","10.715%","50%","4.77%","0%","1.85333333333333%","55.0066666666667%",NA,"1%","35.525%","0%",NA,"17.4575%","38.845%","49.605%","38.6966666666667%","26.89%","20.444%","0%","0%","24.9483333333333%","0%","20.625%","19.05%","17.094%","24.444%",NA,NA,"11.69%",NA
"wip-1 III_+_5019535_5019843_5020192","wip-1","WBGene00020094","R144.4","III_+_5019535_5019843_5020192",NA,"61.01%","65.555%","55.54%","0%","33.3333333333333%","27.7766666666667%","90%","71.1633333333333%","43.465%","38.8883333333333%","72.2233333333333%","50%",NA,"46.97%","74.4966666666667%","29.3666666666667%",NA,"100%",NA,"50%",NA,NA,NA,NA,NA,"58.57%",NA,NA,NA,NA,NA,NA,NA,"83.335%","33.33%","89.654%","51.0425%",NA,NA,"72.476%","46.75%","53.28%","41.055%",NA,NA
"C45G9.14 III_+_5045440_5045486_5048115","C45G9.14","WBGene00044409","C45G9.14","III_+_5045440_5045486_5048115",NA,NA,"50%",NA,NA,"100%",NA,NA,"100%",NA,NA,NA,NA,"100%",NA,NA,"100%","100%",NA,"100%",NA,NA,"0%",NA,"83.7325%",NA,"100%","100%",NA,NA,"100%","100%",NA,"50%","100%",NA,"100%",NA,NA,NA,NA,NA,"100%",NA,NA,NA
"sax-2 III_+_5118278_5118431_5118437","sax-2","WBGene00004728","F21H11.2","III_+_5118278_5118431_5118437","7.1425%","0%","3.47%","5.555%","0%","0%","0%","0%","7.62%","0%","18.75%","0%","0%","0%","4.545%","0%","11.11%","0%","0%","0%","25%","0%","13.58%","6.8975%","1.8525%","1.6675%","0%","4.86%","5.88333333333333%","0%","25.575%","1.96%","10.07%","15.858%","0%","0%","4.3%","0%","6.25%","0%","1%","0%","0%","37.5%","6.176%","1.6125%"
"sax-2 III_+_5118565_5118610_5118619","sax-2","WBGene00004728","F21H11.2","III_+_5118565_5118610_5118619","5%","20%","5.7175%","3.334%","25%","0%","10%","0%","5.13%","0%","16.6666666666667%","33.3333333333333%","50%","1.39%","0%","11.11%","20%","4.1675%","0%","0%","16.6666666666667%","0%","40.6333333333333%","7.2925%","3.5725%","29.1675%","5.26333333333333%","0%","24.7866666666667%","0%","53.335%","35.12%","17.8575%","17.142%","0%","0%","6.618%","0%","10.555%","16.665%","1.338%","5.944%","18.27%","25%","34.85%","4.3325%"
"cid-1 III_+_5175111_5175154_5175160","cid-1","WBGene00019629","K10D2.3","III_+_5175111_5175154_5175160","57.5%","40%","59.375%","55.334%","50%","75%","0%","100%","26.3166666666667%","66.6666666666667%","83.335%","45%","50%","58.3325%","58.3333333333333%","36.3633333333333%","90.4766666666667%","65%","55.5566666666667%","78.5725%","0%","29.8133333333333%","72.025%","45.625%","63.89%","72.5%","56.9433333333333%","32.5766666666667%","86.0533333333333%","100%","75.945%","59.68%","74.1075%","79.308%","33.33%",NA,"66.236%","76.26%","61.8125%","90%","40.91%","70%","82.2225%","50%","75%","60.8325%"
"cid-1 III_+_5175469_5175621_5175630","cid-1","WBGene00019629","K10D2.3","III_+_5175469_5175621_5175630","43.75%","50%","36.1133333333333%","16.6666666666667%","0%","0%","0%","16.6666666666667%","10.1%","50%","0%","0%","50%","6.44%","37.5%","33.33%","16.6666666666667%","50%","12.5%","0%","100%","5.55666666666667%","39.4325%","52.67%","23.3333333333333%","36.4275%","16.665%","5.555%","23.72%","33.335%","37.98%","27.7766666666667%","30.625%","44.905%","0%","0%","22.992%","76.19%","25%","33.33%","26.334%","16.6675%","41.805%","33.3333333333333%","8.3325%","20.6425%"
"T15B12.1 III_+_5290816_5294569_5294618","T15B12.1","WBGene00020530","T15B12.1","III_+_5290816_5294569_5294618","0%","12.5%","0%","0%","0%","0%","25%","0%","0%","0%","0%","0%","8.95666666666667%","2.3475%","0%","0%","0%","7.0575%","0%","0%","0%","7.14333333333333%","3.8325%","0%","3.7675%","6.66666666666667%","13.3333333333333%","0%","0%","30.77%","4.35%","6.66666666666667%","0%","0%","0%","0%","3.51666666666667%","4.485%","1.0875%","10%","2.166%","6.136%","0.4225%","2.6325%","8.33333333333333%","0%"
"T15B12.1 III_+_5296610_5297703_5302216","T15B12.1","WBGene00020530","T15B12.1","III_+_5296610_5297703_5302216","100%","100%","100%","94.67%","100%","100%","100%","100%","100%","100%","100%","100%","100%","97.3625%","97.9175%","100%","100%","94.845%","100%","100%","100%","100%","98.53%","100%","98.4725%","100%","99.0733333333333%","100%","96.155%","100%","94.39%","100%","95.685%","97.5%","100%","100%","100%","97.795%","100%","100%","97.72%","89.666%","96.3475%","100%","100%","98.61%"
"mog-3 III_+_5308765_5308817_5308824","mog-3","WBGene00003391","F52C9.7","III_+_5308765_5308817_5308824","8.1925%","16.666%","16.0525%","4.92%","0%","0%","26.1025%","12.0075%","15.58%","8.3325%","9.524%","6.66666666666667%","0%","10.8925%","0%","6.08333333333333%","28.2266666666667%","5%","0%","3.85%","21.6675%","22.2233333333333%","1.965%","2.985%","7.58%","1.725%","9.72333333333333%","3.225%","0.2425%","3.70333333333333%","7.115%","11.11%","9.845%","4.514%","0%","0%","10.88%","0%","7.7775%","2.56333333333333%","8.45%","8.81%","7.2175%","0%","5.71%","0.8325%"
"pqe-1 III_+_5312137_5312450_5315711","pqe-1","WBGene00004095","F52C9.8","III_+_5312137_5312450_5315711","79.67%","85.778%","75.045%","81.6%","100%","79.8233333333333%","88.16%","81.895%","94.9833333333333%","77.5825%","81.6583333333333%","74.2866666666667%","79.4733333333333%","85.2975%","93.46%","50.95%","78.98%","83.935%","88.095%","95.89%","79.135%","83.0466666666667%","88.7866666666667%","91.835%","92.6275%","90.8375%","84.9833333333333%","92.5925%","68.4225%","94.1166666666667%","90.77%","92.3766666666667%","90.8975%","86.558%","50%",NA,"95.195%","89.745%","84.545%","71.2566666666667%","84.998%","86.332%","86.625%","65.57%","89.498%","89.5375%"
"pqe-1 III_+_5315769_5315807_5315813","pqe-1","WBGene00004095","F52C9.8","III_+_5315769_5315807_5315813","3.2725%","0%","11.28%","3.248%","22.22%","0%","0%","0%","3.89%","1.785%","5.555%","6.66666666666667%","0%","0%","4.71%","0%","0%","4.1675%","0%","2.7775%","0%","0%","13.65%","4.9525%","2.455%","1.705%","0%","4.2175%","5.2%","5.55666666666667%","15.125%","6.98666666666667%","4.2125%","10.164%","0%","7.145%","1.98833333333333%","0%","2.9525%","6.9%","2.75%","1.538%","10.1225%","0%","2.96333333333333%","3.035%"
"ZK121.2 III_+_5344116_5344160_5344173","ZK121.2","WBGene00022664","ZK121.2","III_+_5344116_5344160_5344173","8.7%","7.988%","56.19%","0%","0%","12.1066666666667%","9.0075%","8.5%","19.285%","7.31%","4.1675%","0%",NA,"0%","0%","11.11%","0%","0%","14.496%","4.71%","2.2725%","0%","0%","14.685%","0%","0%","11.4366666666667%","0%","44.4433333333333%","55.555%","16.665%","4.16666666666667%","14.225%","10%",NA,"0%","16.884%","34.85%","0%","0%","11.044%","16%","0%","16.665%","0%","2.78%"
"T22F7.1 III_+_545114_546018_555948","T22F7.1","WBGene00020701","T22F7.1","III_+_545114_546018_555948","99.5375%","83.142%","86.7525%","100%","30%","100%","95%","83.83%","93.1833333333333%","92.375%","87.5%","50%",NA,"67.5425%","91.6675%",NA,"74.6033333333333%","90%","87.5%","73.8825%","20.2775%","91.6666666666667%","87.7175%","89.8825%","63.495%","78.3325%","67.78%","97.7766666666667%","78.2066666666667%","48.495%","63.125%","66.6666666666667%","88.065%","54.92%",NA,NA,"87.516%","87.5%","41.6675%","50%","94.066%","97.142%","84.13%","87.5%","92.0633333333333%","86.46%"
"F48E8.4 III_+_5454544_5454975_5454983","F48E8.4","WBGene00018611","F48E8.4","III_+_5454544_5454975_5454983","0%","0%","1.1375%","1.334%","0%","0%","0%","0%","0%","0%","10%","0%","0%","1.0875%","8.3325%","1.39%","9.04666666666667%","0%","0%","0.64%","0%","6.66666666666667%","0%","0%","2.94%","1.25%","0%","0%","10.0325%","0%","5.33%","0%","2.08%","2.25%","0%","0%","0%","1.1375%","12.025%","0%","3.356%","1.538%","1.6675%","0%","1.538%","1.6675%"
"R02F2.1 III_+_5505202_5505246_5505252","R02F2.1","WBGene00019831","R02F2.1","III_+_5505202_5505246_5505252","4.75%","4.964%","7.4025%","4.26666666666667%","10.5233333333333%","6.73%","4.5225%","4.6%","4.57%","6.085%","5.425%","4.62333333333333%","1.85666666666667%","6%","6.915%","0.66%","5.42666666666667%","5.5075%","4.81%","7.0475%","5.075%","10.29%","17.385%","7.91%","3.255%","11.6875%","5.63666666666667%","6.9275%","24.665%","22.8033333333333%","24.925%","14.14%","12.205%","11.992%","0%","2%","7.18166666666667%","8.915%","4.0375%","3.98333333333333%","5.344%","5.734%","5.5025%","6.82%","4.84666666666667%","13.5525%"
"daf-4 III_+_5625282_5625361_5625418","daf-4","WBGene00000900","C05D2.1","III_+_5625282_5625361_5625418","47.3675%","44.764%","78.05%","76.945%","46.5%","51.8233333333333%","65.7975%","31.81%","38.9066666666667%","36.4625%","76.77%","58.3333333333333%","76.5566666666667%","84.59%","85.43%","92.16%","97.8866666666667%","64.1225%","27.8275%","70.62%","69.1675%","90.4466666666667%","95.945%","99.6475%","91.9%","92.03%","89.5433333333333%","89.0975%","94.9125%","47.8966666666667%","84.24%","78.84%","64.485%","84.278%","100%","100%","86.3033333333333%","74.005%","76.65%","93.3333333333333%","94.976%","97.162%","86.7975%","89.8575%","95.558%","96.6775%"
"par-3 III_+_5672694_5673117_5673126","par-3","WBGene00003918","F54E7.3","III_+_5672694_5673117_5673126","0%","17.666%","15.55%","3.82%","23.335%","0%","0%","0%","4.87666666666667%","25%","35.8333333333333%","8.12%","4.44333333333333%","7.3275%","0%","0%","8.46666666666667%","16.0825%","0%","4.91%","22.2233333333333%","3.93%","26.535%","28.51%","10.9125%","30.2825%","2.08333333333333%","3.5725%","28.95%","17.8166666666667%","41.435%","26.25%","13.75%","20.888%","0%",NA,"14.9%","6.8175%","5.7%","1.39%","3.888%","33.334%","4.92%","15.625%","26.078%","11.38%"
"par-3 III_+_5673380_5674015_5674719","par-3","WBGene00003918","F54E7.3","III_+_5673380_5674015_5674719","17.555%","8.486%","3.2125%","6.286%","0%","0%","0%","37.5%","19.94%","0%","9.72166666666667%","16.6666666666667%","0%","2.47%","23.715%","41.92%","4.16666666666667%","4.0575%","25%","3.03%","0%","16.7033333333333%","26.865%",NA,"14.615%","7.6825%","8.01666666666667%","81.6675%","2.6875%","40.65%","5.97%","6.36333333333333%","8.4725%","5.658%","100%","0%","20.615%","13.0933333333333%","7.04%","5.26333333333333%","4.37%","24.166%","4.0825%","41.6675%","14.6%","36.7625%"
"arle-14 III_+_5693214_5693253_5693262","arle-14","WBGene00015145","B0336.5","III_+_5693214_5693253_5693262","46.4875%","66.6666666666667%","30.63%","53.878%","95%","50%","30.1566666666667%","31.25%","18.9733333333333%","25%","94.286%","0%","100%","53.7025%","40.715%","58.825%","24.5433333333333%","35.2675%","100%","31.12%","37.5%","34.3066666666667%","70%","21.1825%","21.4425%","67.235%","34.1266666666667%","8.3325%","64.7175%","95.24%","77.095%","55.5566666666667%","61.8425%","50.316%","0%","0%","66.8%","32.14%","41.7625%","50%","33.676%","35.38%","47.4875%","83.3325%","35.44%","22.6575%"
"rbm-26 III_+_5712541_5712606_5712612","rbm-26","WBGene00015143","B0336.3","III_+_5712541_5712606_5712612","4.3225%","10.13%","12.6525%","5.59666666666667%","0%","25.3966666666667%","18.645%","10%","7.28%","8.4925%","6.81833333333333%","1.33333333333333%","6.06%","4.44%","3.65%","8.33333333333333%","3.25333333333333%","5.5725%","0%","10.25%","1.5625%","19.5466666666667%","17.92%","6.9225%","5.3375%","24.2425%","7.29333333333333%","4.6475%","24.615%","14.6666666666667%","21.305%","18.9633333333333%","22.395%","13.494%","0%","0%","9.75166666666667%","6.8475%","4.09%","6.05%","10.224%","13.156%","9.79%","14.55%","9.35%","8.6925%"
"B0244.4 III_+_5749550_5749682_5749764","B0244.4","WBGene00015079","B0244.4","III_+_5749550_5749682_5749764",NA,"0%",NA,NA,NA,NA,NA,NA,"15.38%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79.9825%","0%",NA,NA,NA,NA,"0%",NA,NA,NA,"100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0%",NA,"100%",NA,NA,NA,NA
"ida-1 III_+_5763043_5763117_5763127","ida-1","WBGene00002048","B0244.2","III_+_5763043_5763117_5763127","0.115%","0.168%","0.455%","0.285%","0%","2.95%","0.075%","0%","1.15%","1.725%","0%","0%","0%","0.2925%","0.4%","0.0233333333333333%","0.98%","1.035%","1.338%","4.545%","0.63%","0%","0.1175%","0.12%","0.0975%","0.1925%","0.77%","0%","0.0775%","0%","0.57%","0.51%","0.3575%","0.518%","1.85%","1%","0.186666666666667%","1.03%","0.07%","0%","0.132%","0.092%","0.675%","0.85%","0%","0.1825%"
"ubq-1 III_+_5941357_5941406_5942647","ubq-1","WBGene00006727","F25B5.4","III_+_5941357_5941406_5942647","100%","100%","99.6575%","99.6633333333333%","99.75%","100%","100%","100%","99.4675%","100%","100%","100%","99.7933333333333%","99.2075%","99.0525%","99.9133333333333%","99.8466666666667%","99.105%","100%","98.915%","99.5525%","100%","99.87%","99.925%","99.485%","99.39%","99.8133333333333%","100%","99.845%",NA,"100%","99.5666666666667%","99.7875%","99.366%","97.06%","100%","99.8683333333333%","99.7875%","99.855%","100%","99.626%","99.57%","99.5775%","99.675%","99.7283333333333%","99.9225%"
"ubq-1 III_+_5941722_5942002_5942458","ubq-1","WBGene00006727","F25B5.4","III_+_5941722_5942002_5942458","0%",NA,"33.3333333333333%","56.25%",NA,NA,"0%","100%","33.3333333333333%","100%",NA,NA,NA,"25.7933333333333%","42.5%","100%","19.4433333333333%","100%","100%","46.6666666666667%","0%",NA,"100%",NA,"40.0525%","75%","50%","100%","85.4175%","35.29%",NA,"25%","33.3333333333333%","0%","100%",NA,"100%","35.6625%","0%","0%","46.668%","55.13%","16.6666666666667%",NA,"23.3825%","100%"
"nop-1 III_+_5960476_5960523_5960529","nop-1","WBGene00017774","F25B5.2","III_+_5960476_5960523_5960529","37.5%","12.5%","23.4675%","38.334%","95.455%","75%","0%","70%","10.81%","25%","23.334%","50%","71.43%","42.4575%","45.4025%","0%","19.0466666666667%","0%","50%","35.3333333333333%","0%","55%","53.04%","29.1675%","41.6775%","42.7675%","0%","17.5%","38.0875%","58.73%","43.47%","43.52%","30.455%","36.848%","33.33%","0%","35.88%","55.255%","30.555%","20%","37.5%","32%","23.4825%","4.1675%","47.796%","39.5825%"
"T04C9.1 III_+_6004641_6004803_6005249","T04C9.1","WBGene00020209","T04C9.1","III_+_6004641_6004803_6005249","22.025%","25.714%",NA,NA,"5.37666666666667%","12.6766666666667%","14.725%","24.0925%","29.07%","8.7325%","17.5933333333333%",NA,NA,NA,"19.2425%","14.28%",NA,NA,"33.895%",NA,"50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.5616666666667%",NA,"12.9025%",NA,NA,NA,NA,NA,NA,NA
"cyk-3 III_+_6022217_6022331_6022340","cyk-3","WBGene00000874","ZK328.1","III_+_6022217_6022331_6022340","5.0425%","0%","8.56%","2.77833333333333%","40%","12.5%","0%","0%","8.01666666666667%","22.2233333333333%","2.38166666666667%","0%","22.2233333333333%","5.9375%","8.9575%","5.55666666666667%","4.16666666666667%","0%","0%","6.41%","0%","8.12%","24.7125%","1.705%","4.205%","16.0525%","8.33333333333333%","14.5825%","37.6575%","4.16666666666667%","30.725%","22.75%","2.6325%","15.454%","0%","0%","5.65%","0%","2.5%","31.25%","2.302%","9.07%","3.5725%","8.3325%","8.786%","9.1525%"
